,Player,Prediction,Truth
574,Aaron Ashby,Not Eligible,Not Eligible
965,Aaron Barrett,Not Eligible,Not Eligible
1050,Aaron Bates,Not Eligible,Not Eligible
1596,Aaron Blair,Not Eligible,Not Eligible
1804,Aaron Boone,Not Inducted,Not Inducted
2206,Aaron Brooks,Not Eligible,Not Eligible
2454,Aaron Bummer,Not Eligible,Not Eligible
3389,Aaron Civale,Not Eligible,Not Eligible
3401,Aaron Clapp,Not Eligible,Not Eligible
3795,Aaron Cook,Not Inducted,Not Inducted
4153,Aaron Crow,Not Eligible,Not Eligible
4243,Aaron Cunningham,Not Eligible,Not Eligible
6076,Aaron Fletcher,Not Eligible,Not Eligible
6454,Aaron Fultz,Not Eligible,Not Eligible
7544,Aaron Guiel,Not Eligible,Not Eligible
7860,Aaron Harang,Not Inducted,Not Inducted
8195,Aaron Heilman,Not Eligible,Not Eligible
8496,Aaron Hicks,Not Eligible,Not Eligible
8535,Aaron Hill,Not Inducted,Not Inducted
8709,Aaron Holbert,Not Eligible,Not Eligible
9721,Aaron Judge,Not Eligible,Not Eligible
10559,Aaron Laffey,Not Eligible,Not Eligible
10828,Aaron Ledesma,Not Eligible,Not Eligible
11268,Aaron Looper,Not Eligible,Not Eligible
11328,Aaron Loup,Not Eligible,Not Eligible
12911,Aaron Miles,Not Eligible,Not Eligible
13705,Aaron Myette,Not Eligible,Not Eligible
13989,Aaron Nola,Not Eligible,Not Eligible
14027,Aaron Northcraft,Not Eligible,Not Eligible
15237,Aaron Pointer,Not Eligible,Not Eligible
15285,Aaron Poreda,Not Eligible,Not Eligible
15590,Aaron Rakers,Not Eligible,Not Eligible
16208,Aaron Robinson,Not Eligible,Not Eligible
16561,Aaron Rowand,Not Inducted,Not Inducted
16805,Aaron Sanchez,Not Eligible,Not Eligible
17030,Aaron Scheffer,Not Eligible,Not Eligible
17179,Aaron Schunk,Not Eligible,Not Eligible
17299,Aaron Sele,Not Inducted,Not Inducted
17751,Aaron Slegers,Not Eligible,Not Eligible
17761,Aaron Small,Not Eligible,Not Eligible
18869,Aaron Taylor,Not Eligible,Not Eligible
19084,Aaron Thompson,Not Eligible,Not Eligible
20056,Aaron Ward,Not Inducted,Not Inducted
20444,Aaron Whitefield,Not Eligible,Not Eligible
20531,Aaron Wilkerson,Not Eligible,Not Eligible
20969,Ab Wright,Not Eligible,Not Eligible
9424,Abbie Johnson,Not Eligible,Not Eligible
322,Abe Alvarez,Not Eligible,Not Eligible
1921,Abe Bowman,Not Eligible,Not Eligible
9425,Abe Johnson,Not Eligible,Not Eligible
10471,Abe Kruger,Not Eligible,Not Eligible
20396,Abe White,Not Eligible,Not Eligible
20868,Abe Wolstenholme,Not Eligible,Not Eligible
4574,Abel De Los Santos,Not Eligible,Not Eligible
11166,Abel Lizotte,Not Eligible,Not Eligible
639,Abiatal Avelino,Not Eligible,Not Eligible
8792,Abie Hood,Not Eligible,Not Eligible
4334,Abner Dalrymple,Not Inducted,Not Inducted
15332,Abner Powell,Not Eligible,Not Eligible
19539,Abner Uribe,Not Eligible,Not Eligible
285,Abraham Almonte,Not Eligible,Not Eligible
716,Abraham Bailey,Not Eligible,Not Eligible
14052,Abraham Nunez,Not Eligible,Not Eligible
14053,Abraham Nunez,Not Inducted,Not Inducted
19273,Abraham Toro,Not Eligible,Not Eligible
72,Ace Adams,Not Eligible,Not Eligible
14581,Ace Parker,Not Eligible,Not Eligible
18387,Ace Stewart,Not Eligible,Not Eligible
20552,Ace Williams,Not Eligible,Not Eligible
2086,Ad Brennan,Not Eligible,Not Eligible
7564,Ad Gumbert,Not Eligible,Not Eligible
11132,Ad Liska,Not Eligible,Not Eligible
18763,Ad Swigler,Not Eligible,Not Eligible
21041,Ad Yale,Not Eligible,Not Eligible
349,Adael Amador,Not Eligible,Not Eligible
12718,Adalberto Mejia,Not Eligible,Not Eligible
12756,Adalberto Mendez,Not Eligible,Not Eligible
13181,Adalberto Mondesi,Not Eligible,Not Eligible
1402,Adam Bernero,Not Eligible,Not Eligible
2623,Adam Butler,Not Eligible,Not Eligible
3372,Adam Cimber,Not Eligible,Not Eligible
3697,Adam Comorosky,Not Inducted,Not Inducted
3723,Adam Conley,Not Eligible,Not Eligible
4611,Adam DeBus,Not Eligible,Not Eligible
5246,Adam Dunn,Not Inducted,Not Inducted
5304,Adam Duvall,Not Eligible,Not Eligible
5359,Adam Eaton,Not Eligible,Not Eligible
5360,Adam Eaton,Not Inducted,Not Inducted
5542,Adam Engel,Not Eligible,Not Eligible
5691,Adam Everett,Not Inducted,Not Inducted
6310,Adam Frazier,Not Eligible,Not Eligible
7359,Adam Greenberg,Not Eligible,Not Eligible
8041,Adam Haseley,Not Eligible,Not Eligible
9135,Adam Hyzdu,Not Eligible,Not Eligible
9426,Adam Johnson,Not Eligible,Not Eligible
9561,Adam Jones,Not Inducted,Not Inducted
9981,Adam Kennedy,Not Inducted,Not Inducted
10236,Adam Kloffenstein,Not Eligible,Not Eligible
10331,Adam Kolarek,Not Eligible,Not Eligible
10702,Adam LaRoche,Not Inducted,Not Inducted
11036,Adam Liberatore,Not Eligible,Not Eligible
11073,Adam Lind,Not Inducted,Not Inducted
11206,Adam Loewen,Not Eligible,Not Eligible
12175,Adam Mazur,Not Eligible,Not Eligible
12327,Adam McCreery,Not Eligible,Not Eligible
12737,Adam Melhuse,Not Eligible,Not Eligible
13235,Adam Moore,Not Eligible,Not Eligible
13349,Adam Morgan,Not Eligible,Not Eligible
14235,Adam Oller,Not Eligible,Not Eligible
14420,Adam Ottavino,Not Eligible,Not Eligible
14974,Adam Peterson,Not Eligible,Not Eligible
14975,Adam Peterson,Not Eligible,Not Eligible
15014,Adam Pettyjohn,Not Eligible,Not Eligible
15086,Adam Piatt,Not Eligible,Not Eligible
15221,Adam Plutko,Not Eligible,Not Eligible
16056,Adam Riggs,Not Eligible,Not Eligible
16253,Adam Rocap,Not Eligible,Not Eligible
16475,Adam Rosales,Not Inducted,Not Inducted
16653,Adam Russell,Not Eligible,Not Eligible
17370,Adam Shabala,Not Eligible,Not Eligible
18371,Adam Stern,Not Eligible,Not Eligible
19898,Adam Wainwright,Not Eligible,Not Eligible
20096,Adam Warren,Not Eligible,Not Eligible
20529,Adam Wilk,Not Eligible,Not Eligible
348,Adbert Alzolay,Not Eligible,Not Eligible
9704,Addie Joss,Not Eligible,Not Eligible
884,Addison Barger,Not Eligible,Not Eligible
15768,Addison Reed,Not Eligible,Not Eligible
16654,Addison Russell,Not Eligible,Not Eligible
8173,Adeiny Hechavarria,Not Eligible,Not Eligible
16681,Adley Rutschman,Not Eligible,Not Eligible
17067,Admiral Schlei,Not Eligible,Not Eligible
15049,Adolfo Phillips,Not Eligible,Not Eligible
6583,Adolis Garcia,Not Eligible,Not Eligible
6584,Adonis Garcia,Not Eligible,Not Eligible
12685,Adonis Medina,Not Eligible,Not Eligible
16471,Adonis Rosa,Not Eligible,Not Eligible
18981,Adonis Terry,Not Inducted,Not Inducted
1296,Adrian Beltre,Inducted,Inducted
2232,Adrian Brown,Not Eligible,Not Eligible
2892,Adrian Cardenas,Not Eligible,Not Eligible
4655,Adrian Del Castillo,Not Eligible,Not Eligible
4779,Adrian Devine,Not Eligible,Not Eligible
6680,Adrian Garrett,Not Eligible,Not Eligible
7100,Adrian Gonzalez,Not Inducted,Not Inducted
8351,Adrian Hernandez,Not Eligible,Not Eligible
8880,Adrian Houser,Not Eligible,Not Eligible
11462,Adrian Lynch,Not Eligible,Not Eligible
11940,Adrian Martinez,Not Eligible,Not Eligible
13328,Adrian Morejon,Not Eligible,Not Eligible
13945,Adrian Nieto,Not Eligible,Not Eligible
16793,Adrian Sampson,Not Eligible,Not Eligible
16806,Adrian Sanchez,Not Eligible,Not Eligible
21168,Adrian Zabala,Not Eligible,Not Eligible
3205,Adron Chambers,Not Eligible,Not Eligible
13206,Agustin Montero,Not Eligible,Not Eligible
13391,Akeel Morris,Not Eligible,Not Eligible
1856,Akeem Bostick,Not Eligible,Not Eligible
686,Akil Baddoo,Not Eligible,Not Eligible
9198,Akinori Iwamura,Not Eligible,Not Eligible
14416,Akinori Otsuka,Not Eligible,Not Eligible
21,Al Aber,Not Eligible,Not Eligible
180,Al Alburquerque,Not Eligible,Not Eligible
603,Al Atkinson,Not Eligible,Not Eligible
635,Al Autry,Not Eligible,Not Eligible
740,Al Baird,Not Eligible,Not Eligible
746,Al Baker,Not Eligible,Not Eligible
887,Al Barker,Not Eligible,Not Eligible
900,Al Barlick,Not Eligible,Not Eligible
1027,Al Bashang,Not Eligible,Not Eligible
1080,Al Bauer,Not Eligible,Not Eligible
1345,Al Benton,Not Inducted,Not Inducted
1380,Al Bergman,Not Eligible,Not Eligible
1615,Al Blanche,Not Eligible,Not Eligible
1802,Al Bool,Not Eligible,Not Eligible
1875,Al Boucher,Not Eligible,Not Eligible
1976,Al Bradley,Not Eligible,Not Eligible
2019,Al Braithwood,Not Eligible,Not Eligible
2023,Al Brancato,Not Eligible,Not Eligible
2065,Al Brazle,Not Inducted,Not Inducted
2133,Al Bridwell,Not Inducted,Not Inducted
2407,Al Buckenberger,Not Eligible,Not Eligible
2452,Al Bumbry,Not Inducted,Not Inducted
2465,Al Burch,Not Eligible,Not Eligible
2565,Al Burris,Not Eligible,Not Eligible
2795,Al Campanis,Not Eligible,Not Eligible
2996,Al Carson,Not Eligible,Not Eligible
3206,Al Chambers,Not Eligible,Not Eligible
3367,Al Cicotte,Not Eligible,Not Eligible
3370,Al Cihocki,Not Eligible,Not Eligible
3395,Al Clancy,Not Eligible,Not Eligible
3480,Al Clauss,Not Eligible,Not Eligible
3533,Al Closter,Not Eligible,Not Eligible
3920,Al Corwin,Not Eligible,Not Eligible
3979,Al Cowens,Not Inducted,Not Inducted
4205,Al Cuccinello,Not Eligible,Not Eligible
4295,Al Cypert,Not Eligible,Not Eligible
4386,Al Dark,Inducted,Not Inducted
4792,Al DeVormer,Not Eligible,Not Eligible
4697,Al Demaree,Not Eligible,Not Eligible
5079,Al Downing,Inducted,Not Inducted
5307,Al Dwight,Not Eligible,Not Eligible
5376,Al Eckert,Not Eligible,Not Eligible
5570,Al Epperly,Not Eligible,Not Eligible
5670,Al Evans,Not Inducted,Not Inducted
5817,Al Federoff,Not Eligible,Not Eligible
5880,Al Ferrara,Not Eligible,Not Eligible
6041,Al Fitzmorris,Not Inducted,Not Inducted
6055,Al Flair,Not Eligible,Not Eligible
6404,Al Froehlich,Not Eligible,Not Eligible
6514,Al Gallagher,Not Eligible,Not Eligible
6637,Al Gardella,Not Eligible,Not Eligible
6798,Al Gerheauser,Not Eligible,Not Eligible
6818,Al Gettel,Not Eligible,Not Eligible
6958,Al Gionfriddo,Not Eligible,Not Eligible
7017,Al Glossop,Not Eligible,Not Eligible
7224,Al Gould,Not Eligible,Not Eligible
7234,Al Grabowski,Not Eligible,Not Eligible
7361,Al Greene,Not Eligible,Not Eligible
7508,Al Grunwald,Not Eligible,Not Eligible
7699,Al Hall,Not Eligible,Not Eligible
7744,Al Halt,Not Eligible,Not Eligible
8216,Al Heist,Not Eligible,Not Eligible
8342,Al Hermann,Not Eligible,Not Eligible
8725,Al Holland,Not Inducted,Not Inducted
8742,Al Hollingsworth,Not Inducted,Not Inducted
8945,Al Hrabosky,Not Inducted,Not Inducted
8951,Al Hubbard,Not Eligible,Not Eligible
8988,Al Huenke,Not Eligible,Not Eligible
9047,Al Humphrey,Not Eligible,Not Eligible
9205,Al Jackson,Not Inducted,Not Inducted
9326,Al Javery,Not Eligible,Not Eligible
9327,Al Javier,Not Eligible,Not Eligible
9562,Al Jones,Not Eligible,Not Eligible
9743,Al Jurisich,Not Eligible,Not Eligible
9765,Al Kaiser,Not Eligible,Not Eligible
9775,Al Kaline,Inducted,Inducted
9907,Al Kellett,Not Eligible,Not Eligible
9919,Al Kellogg,Not Eligible,Not Eligible
9976,Al Kenders,Not Eligible,Not Eligible
10202,Al Klawitter,Not Eligible,Not Eligible
10399,Al Kozar,Not Eligible,Not Eligible
10476,Al Krumm,Not Eligible,Not Eligible
10528,Al Kvasnak,Not Eligible,Not Eligible
10588,Al LaMacchia,Not Eligible,Not Eligible
10542,Al Lachowicz,Not Eligible,Not Eligible
10582,Al Lakeman,Not Eligible,Not Eligible
10716,Al Lary,Not Eligible,Not Eligible
10773,Al Lawson,Not Eligible,Not Eligible
10876,Al Lefevre,Not Eligible,Not Eligible
10906,Al Leiter,Not Inducted,Not Inducted
10993,Al Levine,Not Inducted,Not Inducted
11038,Al Libke,Not Eligible,Not Eligible
11278,Al Lopez,Not Inducted,Inducted
11417,Al Lukens,Not Eligible,Not Eligible
11438,Al Luplow,Not Eligible,Not Eligible
11481,Al Lyons,Not Eligible,Not Eligible
11643,Al Mahon,Not Eligible,Not Eligible
11723,Al Mamaux,Not Inducted,Not Inducted
11897,Al Martin,Not Eligible,Not Eligible
11896,Al Martin,Not Inducted,Not Inducted
12073,Al Mattern,Not Eligible,Not Eligible
12108,Al Maul,Not Inducted,Not Inducted
12164,Al Mays,Not Eligible,Not Eligible
12202,Al McBean,Not Inducted,Not Inducted
12266,Al McCauley,Not Eligible,Not Eligible
12565,Al McLean,Not Eligible,Not Eligible
13050,Al Milnar,Not Eligible,Not Eligible
13214,Al Montgomery,Not Eligible,Not Eligible
13224,Al Montreuil,Not Eligible,Not Eligible
13236,Al Moore,Not Eligible,Not Eligible
13306,Al Moran,Not Eligible,Not Eligible
13684,Al Myers,Not Eligible,Not Eligible
13732,Al Naples,Not Eligible,Not Eligible
13800,Al Neiger,Not Eligible,Not Eligible
13859,Al Nevin,Not Eligible,Not Eligible
13875,Al Newman,Not Eligible,Not Eligible
13898,Al Nichols,Not Eligible,Not Eligible
13928,Al Niehaus,Not Eligible,Not Eligible
13942,Al Niemiec,Not Eligible,Not Eligible
13960,Al Nipper,Not Eligible,Not Eligible
13972,Al Nixon,Not Eligible,Not Eligible
14220,Al Oliver,Not Inducted,Not Inducted
14241,Al Olmsted,Not Eligible,Not Eligible
14348,Al Orth,Not Inducted,Not Inducted
14398,Al Osuna,Not Eligible,Not Eligible
14553,Al Papai,Not Eligible,Not Eligible
14564,Al Pardo,Not Eligible,Not Eligible
14767,Al Pedrique,Not Eligible,Not Eligible
15110,Al Piechota,Not Eligible,Not Eligible
15125,Al Pierotti,Not Eligible,Not Eligible
15142,Al Pilarcik,Not Eligible,Not Eligible
15207,Al Platte,Not Eligible,Not Eligible
15302,Al Porto,Not Eligible,Not Eligible
15372,Al Pratt,Not Eligible,Not Eligible
15571,Al Raffo,Not Eligible,Not Eligible
15729,Al Reach,Not Eligible,Not Eligible
15853,Al Reiss,Not Eligible,Not Eligible
16019,Al Richter,Not Eligible,Not Eligible
16503,Al Rosen,Not Inducted,Not Inducted
16594,Al Rubeling,Not Eligible,Not Eligible
16905,Al Santorini,Not Eligible,Not Eligible
16945,Al Sauter,Not Eligible,Not Eligible
16994,Al Schacht,Not Eligible,Not Eligible
17026,Al Scheer,Not Eligible,Not Eligible
17041,Al Schellhase,Not Eligible,Not Eligible
17080,Al Schmelz,Not Eligible,Not Eligible
17141,Al Schroll,Not Eligible,Not Eligible
17171,Al Schulz,Not Eligible,Not Eligible
17193,Al Schweitzer,Not Eligible,Not Eligible
17350,Al Severinsen,Not Eligible,Not Eligible
17417,Al Shaw,Not Eligible,Not Eligible
17416,Al Shaw,Not Eligible,Not Eligible
17443,Al Shealy,Not Eligible,Not Eligible
17624,Al Silvera,Not Eligible,Not Eligible
17630,Al Sima,Not Eligible,Not Eligible
17632,Al Simmons,Not Inducted,Inducted
17779,Al Smith,Not Inducted,Not Inducted
17778,Al Smith,Not Eligible,Not Eligible
17777,Al Smith,Not Inducted,Not Inducted
18100,Al Spalding,Not Eligible,Not Eligible
18104,Al Spangler,Not Inducted,Not Inducted
18167,Al Spohrer,Not Eligible,Not Eligible
18235,Al Stanek,Not Eligible,Not Eligible
18446,Al Stokes,Not Eligible,Not Eligible
18554,Al Strueve,Not Eligible,Not Eligible
18838,Al Tate,Not Eligible,Not Eligible
18939,Al Tedrow,Not Eligible,Not Eligible
18992,Al Tesch,Not Eligible,Not Eligible
19006,Al Thake,Not Eligible,Not Eligible
19221,Al Todd,Not Inducted,Not Inducted
19515,Al Unser,Not Eligible,Not Eligible
19615,Al Van Camp,Not Eligible,Not Eligible
19698,Al Veach,Not Eligible,Not Eligible
19707,Al Veigel,Not Eligible,Not Eligible
19739,Al Verdel,Not Eligible,Not Eligible
20246,Al Weis,Not Inducted,Not Inducted
20346,Al Weston,Not Eligible,Not Eligible
20487,Al Wickland,Not Eligible,Not Eligible
20492,Al Widmar,Not Eligible,Not Eligible
20553,Al Williams,Not Eligible,Not Eligible
20638,Al Williamson,Not Eligible,Not Eligible
20777,Al Wingo,Not Eligible,Not Eligible
20925,Al Woods,Not Eligible,Not Eligible
20962,Al Worthington,Not Inducted,Not Inducted
20971,Al Wright,Not Eligible,Not Eligible
20970,Al Wright,Not Eligible,Not Eligible
21059,Al Yates,Not Eligible,Not Eligible
21068,Al Yeargin,Not Eligible,Not Eligible
21194,Al Zarilla,Not Inducted,Not Inducted
9363,Alamazoo Jennings,Not Eligible,Not Eligible
575,Alan Ashby,Not Inducted,Not Inducted
845,Alan Bannister,Not Inducted,Not Inducted
1309,Alan Benes,Not Eligible,Not Eligible
2121,Alan Brice,Not Eligible,Not Eligible
2596,Alan Busenitz,Not Eligible,Not Eligible
3562,Alan Cockrell,Not Eligible,Not Eligible
5522,Alan Embree,Not Inducted,Not Inducted
6213,Alan Foster,Not Inducted,Not Inducted
6247,Alan Fowlkes,Not Eligible,Not Eligible
7883,Alan Hargesheimer,Not Eligible,Not Eligible
9427,Alan Johnson,Not Eligible,Not Eligible
10262,Alan Knicely,Not Eligible,Not Eligible
10306,Alan Koch,Not Eligible,Not Eligible
13033,Alan Mills,Not Inducted,Not Inducted
13876,Alan Newman,Not Eligible,Not Eligible
18474,Alan Storke,Not Eligible,Not Eligible
18503,Alan Strange,Not Eligible,Not Eligible
19332,Alan Trammell,Inducted,Inducted
19355,Alan Trejo,Not Eligible,Not Eligible
20505,Alan Wiggins,Not Eligible,Not Eligible
20801,Alan Wirth,Not Eligible,Not Eligible
21247,Alan Zinter,Not Eligible,Not Eligible
18036,Alay Soler,Not Eligible,Not Eligible
36,Albert Abreu,Not Eligible,Not Eligible
292,Albert Almora,Not Eligible,Not Eligible
1279,Albert Belle,Not Inducted,Not Inducted
7700,Albert Hall,Not Eligible,Not Eligible
15452,Albert Pujols,Not Eligible,Not Eligible
18591,Albert Suarez,Not Eligible,Not Eligible
20554,Albert Williams,Not Eligible,Not Eligible
21155,Albert Youngblood,Not Eligible,Not Eligible
21171,Albert Zachary,Not Eligible,Not Eligible
512,Alberto Arias,Not Eligible,Not Eligible
789,Alberto Baldonado,Not Eligible,Not Eligible
2683,Alberto Cabrera,Not Eligible,Not Eligible
2757,Alberto Callaspo,Not Inducted,Not Inducted
3074,Alberto Castillo,Not Inducted,Not Inducted
3073,Alberto Castillo,Not Eligible,Not Eligible
7101,Alberto Gonzalez,Not Eligible,Not Eligible
11224,Alberto Lois,Not Eligible,Not Eligible
15906,Alberto Reyes,Not Inducted,Not Inducted
16478,Alberto Rosario,Not Eligible,Not Eligible
11279,Albie Lopez,Not Inducted,Not Inducted
14749,Albie Pearson,Not Eligible,Not Eligible
2927,Albin Carlstrom,Not Eligible,Not Eligible
5607,Alcides Escobar,Not Eligible,Not Eligible
20535,Aldon Wilkie,Not Eligible,Not Eligible
578,Alec Asher,Not Eligible,Not Eligible
1456,Alec Bettinger,Not Eligible,Not Eligible
1733,Alec Bohm,Not Eligible,Not Eligible
2521,Alec Burleson,Not Eligible,Not Eligible
4919,Alec Distaso,Not Eligible,Not Eligible
11857,Alec Marsh,Not Eligible,Not Eligible
13034,Alec Mills,Not Eligible,Not Eligible
17780,Aleck Smith,Not Eligible,Not Eligible
4803,Aledmys Diaz,Not Eligible,Not Eligible
3186,Alejandro Chacin,Not Eligible,Not Eligible
4545,Alejandro De Aza,Not Inducted,Not Inducted
6352,Alejandro Freire,Not Eligible,Not Eligible
10172,Alejandro Kirk,Not Eligible,Not Eligible
11519,Alejandro Machado,Not Eligible,Not Eligible
14271,Alejandro Oms,Not Eligible,Not Eligible
14798,Alejandro Peña,Not Inducted,Not Inducted
16807,Alejandro Sanchez,Not Eligible,Not Eligible
11280,Alejo Lopez,Not Eligible,Not Eligible
9248,Alek Jacob,Not Eligible,Not Eligible
11760,Alek Manoah,Not Eligible,Not Eligible
19034,Alek Thomas,Not Eligible,Not Eligible
7851,Alen Hanson,Not Eligible,Not Eligible
513,Alex Arias,Not Inducted,Not Inducted
645,Alex Avila,Not Eligible,Not Eligible
1130,Alex Beam,Not Eligible,Not Eligible
1627,Alex Blandino,Not Eligible,Not Eligible
2079,Alex Bregman,Not Eligible,Not Eligible
2525,Alex Burnett,Not Eligible,Not Eligible
2684,Alex Cabrera,Not Eligible,Not Eligible
2743,Alex Call,Not Eligible,Not Eligible
2965,Alex Carrasquel,Not Eligible,Not Eligible
3066,Alex Castellanos,Not Eligible,Not Eligible
3377,Alex Cintron,Not Eligible,Not Eligible
3478,Alex Claudio,Not Eligible,Not Eligible
3550,Alex Cobb,Not Eligible,Not Eligible
3599,Alex Cole,Not Eligible,Not Eligible
3675,Alex Colome,Not Eligible,Not Eligible
3851,Alex Cora,Not Inducted,Not Inducted
4549,Alex De Goti,Not Eligible,Not Eligible
4675,Alex Delgado,Not Eligible,Not Eligible
4804,Alex Diaz,Not Eligible,Not Eligible
4843,Alex Dickerson,Not Eligible,Not Eligible
5608,Alex Escobar,Not Eligible,Not Eligible
5720,Alex Faedo,Not Eligible,Not Eligible
5771,Alex Farmer,Not Eligible,Not Eligible
5850,Alex Ferguson,Not Inducted,Not Inducted
5864,Alex Fernandez,Not Inducted,Not Inducted
5897,Alex Ferson,Not Eligible,Not Eligible
6580,Alex Garbowski,Not Eligible,Not Eligible
6643,Alex Gardner,Not Eligible,Not Eligible
6714,Alex Gaston,Not Eligible,Not Eligible
6780,Alex George,Not Eligible,Not Eligible
7102,Alex Gonzalez,Not Inducted,Not Inducted
7103,Alex Gonzalez,Not Inducted,Not Inducted
7177,Alex Gordon,Not Eligible,Not Eligible
7274,Alex Graman,Not Eligible,Not Eligible
7276,Alex Grammas,Not Inducted,Not Inducted
7527,Alex Guerrero,Not Eligible,Not Eligible
7871,Alex Hardy,Not Eligible,Not Eligible
8048,Alex Hassan,Not Eligible,Not Eligible
8352,Alex Hernandez,Not Eligible,Not Eligible
8413,Alex Herrera,Not Eligible,Not Eligible
8600,Alex Hinshaw,Not Eligible,Not Eligible
8800,Alex Hooks,Not Eligible,Not Eligible
9206,Alex Jackson,Not Eligible,Not Eligible
9428,Alex Johnson,Not Inducted,Not Inducted
9563,Alex Jones,Not Eligible,Not Eligible
9783,Alex Kampouris,Not Eligible,Not Eligible
9917,Alex Kellner,Not Inducted,Not Inducted
10171,Alex Kirilloff,Not Eligible,Not Eligible
10350,Alex Konikowski,Not Eligible,Not Eligible
10651,Alex Lange,Not Eligible,Not Eligible
11042,Alex Liddi,Not Eligible,Not Eligible
11591,Alex Madrid,Not Eligible,Not Eligible
11658,Alex Main,Not Eligible,Not Eligible
11700,Alex Malloy,Not Eligible,Not Eligible
12240,Alex McCarthy,Not Eligible,Not Eligible
12293,Alex McColl,Not Eligible,Not Eligible
12397,Alex McFarlan,Not Eligible,Not Eligible
12538,Alex McKinnon,Not Eligible,Not Eligible
12642,Alex McRae,Not Eligible,Not Eligible
12719,Alex Mejia,Not Eligible,Not Eligible
12848,Alex Metzler,Not Eligible,Not Eligible
12852,Alex Meyer,Not Eligible,Not Eligible
13178,Alex Monchak,Not Eligible,Not Eligible
13677,Alex Mustaikis,Not Eligible,Not Eligible
14119,Alex Ochoa,Not Eligible,Not Eligible
14476,Alex Pacheco,Not Eligible,Not Eligible
14750,Alex Pearson,Not Eligible,Not Eligible
14784,Alex Pelaez,Not Eligible,Not Eligible
15184,Alex Pitko,Not Eligible,Not Eligible
15261,Alex Pompez,Not Eligible,Not Eligible
15387,Alex Presley,Not Eligible,Not Eligible
15409,Alex Prieto,Not Eligible,Not Eligible
15601,Alex Ramirez,Not Eligible,Not Eligible
15865,Alex Remneas,Not Eligible,Not Eligible
15907,Alex Reyes,Not Eligible,Not Eligible
16082,Alex Rios,Not Inducted,Not Inducted
16276,Alex Rodriguez,Inducted,Not Inducted
16425,Alex Romero,Not Eligible,Not Eligible
16721,Alex Sabo,Not Eligible,Not Eligible
16802,Alex Sanabia,Not Eligible,Not Eligible
16809,Alex Sanchez,Not Eligible,Not Eligible
16808,Alex Sanchez,Not Eligible,Not Eligible
17335,Alex Serrano,Not Eligible,Not Eligible
17711,Alex Skinner,Not Eligible,Not Eligible
18115,Alex Speas,Not Eligible,Not Eligible
18864,Alex Taveras,Not Eligible,Not Eligible
19281,Alex Torres,Not Eligible,Not Eligible
19365,Alex Trevino,Not Inducted,Not Inducted
19741,Alex Verdugo,Not Eligible,Not Eligible
19757,Alex Vesia,Not Eligible,Not Eligible
19842,Alex Voss,Not Eligible,Not Eligible
20275,Alex Wells,Not Eligible,Not Eligible
20397,Alex White,Not Eligible,Not Eligible
20674,Alex Wilson,Not Eligible,Not Eligible
